Country code;Company Name;COUS ID;No. of profiles
NO;GARDERMOEN PERISHABLES CENTER AS;NOGENBR0001;8
NO;SCHENKER AS;NOOSLBR0001;1307
NZ;SCHENKER (NZ) LTD.;NZAKLBR0001;92
NZ;SCHENKER HOLDINGS (NZ) LIMITED;NZAKLBR0006;1
OM;Schenker Khimji's LLC;OMMCTLE0001;27
PA;SCHENKER PANAMA S.A.;PAPTYLE0001;45
PE;SCHENKER PERU S.R.L.;PELIMBR0003;109
PH;DB SCHENKER GLOBAL SERVICES ASIA PACIFIC INC.;PHMNLLE0003;1
PH;SCHENKER PHILIPPINES, INC.;PHMNLBR0001;556
PH;SCHENKER MANILA ADMINISTRATIVE COMPETENCE CENTER INC.;PHMNLLE0002;1
PH;SCHENKER LOGISTICS INC.;PHCALBR0001;119
PL;SCHENKER SP. Z O.O.;PLWAWBR0002;1984
PT;SCHENKER TRANSITARIOS, S.A.;PTLISBR0002;260
QA;OVERSEAS CARGO;QADOHBR0002;1
RO;DB SCHENKER GLOBAL SERVICES EUROPE S.R.L.;ROOTPLE0001;226
RO;TRANSWORLD ASIG - BROKER DE ASIGURARE LTD.;ROBUVLE0002;2
RO;SCHENKER LOGISTICS ROMANIA S.A.;ROBUHLE0001;738
RS;SCHENKER D.O.O.;RSZEMLE0001;72
RU;SCHENKER BUSINESS SERVICES LLC;RUMOWBR0005;16
RU;AO Schenker;RUMOWBR0002;461
SA;SCHENKER SAUDI ARABIA LLC;SARUHBR0003;129
SE;SCHENKER EQUIPMENT AB;SEGOTLE0009;9
SE;Schenker North & East AB;SEGOTLE0002;45
SE;SCHENKER DEDICATED SERVICES AB;SEGOTLE0006;130
SE;SCHENKER AB;SEGOTLE0001;1822
SE;SCHENKER AKERI;SEGOTLE0008;124
SE;SCHENKER PROPERTY SWEDEN AB;SEGOTLE0004;8
SE;SCHENKER TRANSPORT AB;SEGOTLE0010;7
SE;SCHENKER LOGISTICS AB;SENSJLE0001;152
SE;SCHENKER CONSULTING AB;SEGOTLE0005;15
SE;SCHENKER INTERNATIONAL AB;SEGOTLE0012;13
SE;SCHENKER PRIVPAK AB;SEBOSLE0001;2
SG;SCHENKER (ASIA PACIFIC) PTE. LTD.;SGSINLE0002;285
SG;SCHENKER SINGAPORE (PTE) LTD.;SGSINBR0003;849
SI;SCHENKER D.D.;SILJUBR0004;108
SK;SCHENKER S.R.O.;SKBTSBR0001;151
TH;SCHENKER (THAI) LTD.;THBKKBR0003;676
TH;SCHENKER (THAI) HOLDINGS LTD.;THBKKBR0012;16
TH;SCHENKER LOGISTICS (THAI) LTD.;THBKKLE0004;15
TR;SCHENKER-ARKAS NAKLIYAT VE TIC. A.S.;TRISTBR0002;439
TW;Schenker (H.K.) Limited Taiwan Branch;TWTPEBR0001;238
UA;DP SCHENKER;UAIEVBR0001;74
US;SCHENKER, INC.;USNYCBR0007;1847
VE;ENGELBERG TRANSPORTES INTERNACIONALES, C.A. (ENTRA);VECCSBR0001;101
VN;SCHENKER VIETNAM CO., LTD.;VNSGNBR0001;383
VN;SCHENKER LOGISTICS VIETNAM CO., LTD.;VNSGNLE0002;9
ZA;Johannesburg (RHO Sub-Sah-Afr);ZAJNBMR0001;23
ZA;SCHENKER SOUTH AFRICA (PTY) LTD.;ZAJNBRC0001;504
